lesson_id,video_id,name,lesson_url,forum_url,course_id
101,DzE0eSdy5Hk,Lesson 8,https://course18.fast.ai/lessonsml1/lesson8.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-8/8157,11
102,PGC0UxakTvM,Lesson 9,https://course18.fast.ai/lessonsml1/lesson9.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-9/8438,11
103,37sFIak42Sc,Lesson 10,https://course18.fast.ai/lessonsml1/lesson10.html,http://forums.fast.ai/t/wiki-lesson-thread-lesson-10,11
104,XJ_waZlJU8g,Lesson 11,https://course18.fast.ai/lessonsml1/lesson11.html,http://forums.fast.ai/t/lesson-11-wiki-thread,11
105,5_xFdhfUnvQ,Lesson 12,https://course18.fast.ai/lessonsml1/lesson12.html,http://forums.fast.ai/t/wiki-lesson-thread-lesson-12,11
106,eFjk79ykWZk,Lesson 1,https://ethics.fast.ai/videos/?lesson=1,https://forums.fast.ai/t/week-1-disinformation-discussion/62088,12
107,mG-cTS3fnnw,Lesson 2,https://ethics.fast.ai/videos/?lesson=2,https://forums.fast.ai/t/week-2-bias-fairness-discussion/62556,12
108,s0s5A4xK0xQ,Lesson 3,https://ethics.fast.ai/videos/?lesson=3,https://forums.fast.ai/t/week-3-ethical-foundations-practical-tools/62963,12
109,79_rwZhewbQ,Lesson 4.1,https://ethics.fast.ai/videos/?lesson=4,https://forums.fast.ai/t/week-4-privacy-and-surveillance-discussion/63253,12
110,HwfeDeqbmsI,Lesson 4.2,https://ethics.fast.ai/videos/?lesson=5,https://forums.fast.ai/t/week-4-privacy-and-surveillance-discussion/63253,12
111,US42H1znvKU,Lesson 5.1,https://ethics.fast.ai/videos/?lesson=6,https://forums.fast.ai/t/week-5-our-ecosystem/64114,12
112,TKYr4sS1SFw,Lesson 5.2,https://ethics.fast.ai/videos/?lesson=7,https://forums.fast.ai/t/week-5-our-ecosystem/64114,12
113,upU-_ECq80Y,Lesson 5.3,https://ethics.fast.ai/videos/?lesson=8,https://forums.fast.ai/t/week-5-our-ecosystem/64114,12
114,Nzvoc7aaEzw,Lesson 6,https://ethics.fast.ai/videos/?lesson=9,https://forums.fast.ai/t/week-6-algorithmic-colonialism-and-next-steps/64703,12
115,CGpR2ILao5M,Session 1,,https://forums.fast.ai/t/apl-study-session-1/97258,13
116,EZrkBxFa9LQ,Session 2,,https://forums.fast.ai/t/apl-study-session-2/97284,13
117,u6fHrjKjb3I,Session 3,,https://forums.fast.ai/t/apl-study-session-3/97307,13
118,N3m1OgFj2dQ,Session 4,,https://forums.fast.ai/t/apl-study-session-4/97324,13
119,5x51s_xuPDA,Session 5,,https://forums.fast.ai/t/apl-study-session-5/97379,13
120,bmJrYcoKwGg,Session 6,,https://forums.fast.ai/t/fast-ai-apl-study-session-6/97398,13
121,e_71xO0Cf-Y,Session 7,,https://forums.fast.ai/t/fast-ai-apl-study-session-7/97417,13
122,bRr7V38Oa7o,Session 8,,https://forums.fast.ai/t/fast-ai-apl-study-session-8/97488,13
123,_JK3WNq3BAg,Session 9,,https://forums.fast.ai/t/fast-ai-apl-study-session-9/97510,13
124,HyERdTC69UE,Session 10,,https://forums.fast.ai/t/fast-ai-apl-study-session-10/97530,13
125,S9cfN9oVI5I,Session 11 (w/ Adám Brudzewsky),,https://forums.fast.ai/t/fast-ai-apl-study-session-11/97557,13
126,nT26xUqdi04,Session 12,,https://forums.fast.ai/t/fast-ai-apl-study-session-12/97949,13
127,du77RpFBEaE,Session 13,,https://forums.fast.ai/t/fast-ai-apl-study-session-13/98031,13
128,ofkks-94CDc,Session 14,,https://forums.fast.ai/t/fast-ai-apl-study-session-14/98070,13
129,bYdAEut4xhc,Session 15,,https://forums.fast.ai/t/fast-ai-apl-study-session-15/98107,13
130,K7Q-SfYu-X8,Session 16,,https://forums.fast.ai/t/fast-ai-apl-study-session-16/98202,13
131,nNQg3BYu228,Session 17,,https://forums.fast.ai/t/fast-ai-apl-study-session-17-final-session/98231,13
132,56sIyFjihEc,Live Coding 1,,https://forums.fast.ai/t/live-coding-1/96649,14
133,0pWjZByJ3Lk,Live Coding  2,,https://forums.fast.ai/t/live-coding-2/96649,14
134,B6BQiIgiEks,Live Coding 3,,https://forums.fast.ai/t/live-coding-3/96707,14
135,uKUMT6Bj4l8,Live Coding 4,,https://forums.fast.ai/t/live-coding-4/96727,14
136,gdsa2VawOeM,Live Coding 5,,https://forums.fast.ai/t/live-coding-5/96733,14
137,V3cN-bqFUh4,Live Coding 6,,https://forums.fast.ai/t/live-coding-6/96794,14
